Bank,Capital_ID,Capital_Amount,Capital_Ratio,RWA,Rating
HSBC,CP000000,3425663.5601304173,11.281507639004378,1251863.4423906645,A
Barclays,CP000001,233752.53588309104,9.778686898521835,786679.9795027046,AAA
Deutsche Bank,CP000002,2153374.6986854947,14.15382043921374,3820625.067852027,B
Deutsche Bank,CP000003,4602327.5954810325,11.751977820285731,8792720.2859432,AA
Deutsche Bank,CP000004,336549.04454056296,10.914314053836259,2212697.863562129,A
Citigroup,CP000005,2736826.7047663187,12.138393190410698,7797290.811149643,A
Deutsche Bank,CP000006,1669672.7444490683,12.018110496253062,5379043.4104820965,AA
HSBC,CP000007,1738594.7925845506,10.158021809390554,5715691.573831021,BBB
Citigroup,CP000008,1606418.5271135094,11.312530728856922,1454912.6786039374,A
Deutsche Bank,CP000009,2507204.8256751904,15.768425085666447,5607186.492003212,A
HSBC,CP000010,4313655.905227952,15.989875180034879,241252.3920719643,BBB
Deutsche Bank,CP000011,3362413.898629002,11.578169496511356,5304194.517772267,AA
Deutsche Bank,CP000012,1658608.7259994561,12.935051511092412,13369099.548631955,BB
Citigroup,CP000013,397218.1584855994,15.520492470669522,1041572.8918223359,A
HSBC,CP000014,928435.4408283154,10.806957649311947,62621051.172767155,BB
Barclays,CP000015,490155.7197454202,11.864479851248054,4173529.3965492076,AA
HSBC,CP000016,7641047.299984875,13.197358509112092,447835.51669959986,A
HSBC,CP000017,416860.963714518,9.388859906537931,4287776.513056513,B
HSBC,CP000018,486809.91571517,11.74855613054048,16973695.06119115,A
Deutsche Bank,CP000019,1982067.6972511515,12.253198681931146,5815908.288776018,AA
Barclays,CP000020,70787.13449165194,10.378751357221326,1487201.6243074357,A
Citigroup,CP000021,184839.06837801525,9.928405759809646,40017874.934860766,AA
HSBC,CP000022,1105429.7161069186,11.749992451320352,1469725.2557147355,BBB
Deutsche Bank,CP000023,1070209.3232466143,9.943656071582273,4950321.371195052,BB
HSBC,CP000024,207288.1219238087,13.677774415963118,905752.7992111087,BB
Citigroup,CP000025,710775.1019761122,10.929961583258255,4696817.307042902,CCC
Barclays,CP000026,1181866.626880519,15.732640300009265,5625791.109907565,BBB
Barclays,CP000027,5678586.602406737,11.441151401822706,10208679.526383543,BBB
HSBC,CP000028,1107155.3753786543,14.607272522567456,1204649.6463831037,BBB
Barclays,CP000029,1770771.9448672386,12.20359924858421,679305.4592625254,AA
Citigroup,CP000030,402964.8361367702,14.43622068402102,12171253.07620962,BB
Barclays,CP000031,934567.4771354055,12.449000180914698,482344.4474768301,BB
HSBC,CP000032,2206392.870900976,14.641829791006792,8473874.788766118,AA
Citigroup,CP000033,283190.90034923336,14.166968883383248,7641199.91416566,B
Barclays,CP000034,463367.8336244422,12.34533446842065,2953565.6417532996,AAA
HSBC,CP000035,9781527.096421394,11.646737978054029,29216991.622081924,A
HSBC,CP000036,1265844.7317884816,13.793895151806135,3175823.4635027032,AA
Barclays,CP000037,12038912.628867606,9.850100072234165,3528928.478242495,AA
Barclays,CP000038,881790.9692426395,12.06038397587525,17971709.665387664,AA
Deutsche Bank,CP000039,3039851.4422095018,11.136104042805073,3581458.522186915,AA
Citigroup,CP000040,5141561.498899163,15.749329455620355,4044573.835530698,BBB
Deutsche Bank,CP000041,4739147.290603095,14.253406352079335,241709.89452638675,A
Barclays,CP000042,2500717.9855018947,11.12461041425853,674061.6867020677,A
Deutsche Bank,CP000043,57159.137446855515,14.019832284505009,5301889.325492518,AAA
Deutsche Bank,CP000044,618704.5332892345,14.642518209527141,14361325.157192668,BB
Deutsche Bank,CP000045,8781167.423391815,15.520174098159028,5683648.295116185,BB
Citigroup,CP000046,2407847.6463500676,15.592423578476437,4620402.2575186975,BBB
HSBC,CP000047,190560.20519781968,15.561553462683882,632135.2306676898,AAA
Deutsche Bank,CP000048,1532180.4706060998,11.823789114210872,110617.86386751235,AAA
Barclays,CP000049,142215.3743417126,10.12173062821078,2726380.118205489,AA
Barclays,CP000050,347900.94473030657,15.758092013709682,15571322.774668913,A
Barclays,CP000051,4788574.240387552,12.12546782962399,962779.6800035967,BB
Citigroup,CP000052,76569.86042079607,11.871430569092007,2874262.2679653508,AA
Deutsche Bank,CP000053,3011011.080389716,12.162267196644237,27957660.836311843,BBB
Citigroup,CP000054,231163.41443238404,15.743004491197425,141511633.1818587,BBB
Citigroup,CP000055,471276.05480580876,14.475940575459116,5509031.557658515,A
Deutsche Bank,CP000056,2561973.9764468786,12.85817840918656,323838.297467888,AA
Citigroup,CP000057,477655.6598848661,11.791770278065876,2210535.9515255005,A
HSBC,CP000058,1155980.4071655313,10.659777533582972,17522137.771244116,AA
HSBC,CP000059,4205920.744623391,15.14328290970857,3554894.4390886207,A
HSBC,CP000060,392103.4235058194,11.265516486309602,625674.8547777957,AA
Deutsche Bank,CP000061,1504115.7020949554,14.48193849928924,213326.6612700864,AA
Deutsche Bank,CP000062,1777469.41704789,10.162365855642104,3564378.016122992,A
Barclays,CP000063,1048293.6485615729,12.699579387965386,1319492.8150957886,BB
Citigroup,CP000064,621605.6047514344,13.682108065870088,404888.88816468726,BBB
Barclays,CP000065,491248.93411462277,9.741898895380215,13634100.614490984,A
Citigroup,CP000066,3247207.9596982696,13.744776196450795,7646790.564852225,BBB
Citigroup,CP000067,5899048.826047415,10.489090838341356,816354.0944105812,AA
Deutsche Bank,CP000068,1325587.5529910338,15.663969508969917,7060928.983614268,AAA
Citigroup,CP000069,416821.854260455,14.907699573417554,870775.5428009749,AAA
Deutsche Bank,CP000070,1655736.6997645318,13.540583135524694,4834265.991628716,A
Barclays,CP000071,2338202.6241954537,13.811256586798706,14861296.866747273,A
HSBC,CP000072,2445054.806989646,10.872358848359912,20353967.857105922,A
Citigroup,CP000073,3875225.535579606,14.73041828893537,5505042.723350278,A
Citigroup,CP000074,313449.6414252521,15.609712995430314,16146068.464117613,CCC
Barclays,CP000075,211811.95353938878,9.362709559922912,62313316.17964076,BB
HSBC,CP000076,3925877.8029836393,11.323177314028996,1463787.5280181512,AA
Citigroup,CP000077,7813837.35166322,13.080505326020223,241860.59833591094,BBB
Citigroup,CP000078,301382.1379404325,12.874652690045007,1108242.607563646,BB
Barclays,CP000079,1409822.0665554928,15.049893488233668,644168.4051602212,BBB
HSBC,CP000080,1669151.507743194,9.240683882563774,638262.2942280602,AA
Deutsche Bank,CP000081,355831.2411058664,12.413487925155842,5700186.591141292,BBB
HSBC,CP000082,64930.50503522894,15.121323527820095,21033711.521878924,BBB
Citigroup,CP000083,1581124.6627703696,14.710005813875933,43371032.01215652,BBB
Citigroup,CP000084,193141.17469014652,9.767638241753739,3822449.590964736,AA
HSBC,CP000085,670889.2131901948,12.666410715602357,911966.1528280324,BBB
HSBC,CP000086,190426.2174279483,13.795832012488821,2201058.330130527,AA
Deutsche Bank,CP000087,1856444.8666473995,15.280104821139126,1441153.0716664044,BB
HSBC,CP000088,11913381.14398172,9.063489137836767,1043933.159562694,AAA
Citigroup,CP000089,1014529.9945989366,13.635588456903049,1540623.2855338156,BBB
Citigroup,CP000090,644519.1829730113,14.751864385636082,11324927.197020756,AA
HSBC,CP000091,2246494.436719356,12.985035547746566,5907096.825660864,BB
Deutsche Bank,CP000092,3080251.101297796,9.734509490733377,742053.1769113026,AA
Deutsche Bank,CP000093,450946.2446150502,12.292855114421357,7822926.870005698,BBB
Barclays,CP000094,4841302.082302594,11.481821515104118,1079926.6546889273,AA
Deutsche Bank,CP000095,2265883.865226568,14.166323738142324,28269360.918951504,A
HSBC,CP000096,509401.2770563074,11.808090668746297,262097.43729757928,AAA
Barclays,CP000097,395069.2533646577,9.59628432596762,1132175.6276997707,BB
HSBC,CP000098,1326527.7510212825,9.802063881988122,983956.8929958985,BBB
Deutsche Bank,CP000099,734662.0026264399,15.885366837943586,654890.4797877212,B
Deutsche Bank,CP000100,224397.5842899202,11.7228640877927,1188301.3814240533,AAA
Citigroup,CP000101,197554.03493708707,9.744870848611747,2742934.3768076613,BB
Citigroup,CP000102,194148.41803104532,14.723748414410846,214036.59815518648,BBB
Barclays,CP000103,1389109.484056673,14.060689989783327,2020422.386710441,BBB
HSBC,CP000104,454772.5555030937,13.13863387716558,3303650.7421148187,BBB
Barclays,CP000105,1932523.8553887864,10.50959310730102,1495753.6173426446,BBB
Citigroup,CP000106,700861.4209753448,15.146667424502306,1994680.8789180368,B
Deutsche Bank,CP000107,761780.8333052912,12.167423375245217,3281170.4350162614,A
HSBC,CP000108,1841420.6952836737,13.213281516585562,6998088.193760024,BBB
Citigroup,CP000109,944338.9855787245,10.00481894539549,6539451.487132853,BBB
