Loan_ID,Bank,Client_Type,Loan_Amount,Balance,Rate,Term_Months,Start_Date,End_Date,Days_Overdue,Rating,Default_Prob,Loss_Given_Default,Status
LN000000,Deutsche Bank,Corporate,50541.19899797677,45149.99065894578,6.919724941194629,36,2022-04-18,2025-04-02,60,AA,0.11203201358356558,0.5913020512609611,Delinquent
LN000001,HSBC,Individual,44415.43158244755,33045.39848106364,4.747416800597156,60,2023-07-03,2028-06-06,60,A,0.04343834626425182,0.21071967773216288,Delinquent
LN000002,Deutsche Bank,Corporate,122464.53556020888,104921.48436430994,8.05627423116377,12,2022-06-28,2023-06-23,0,AAA,0.024909425581662092,0.26369029070093275,Performing
LN000003,Deutsche Bank,Individual,23246.91063529364,17100.14196762307,6.77373498060998,12,2024-04-15,2025-04-10,0,B,0.03046992339159027,0.7200029165052212,Performing
LN000004,Citigroup,Individual,14379.199128203381,11201.374469764925,7.666348225237754,12,2023-06-30,2024-06-24,0,BBB,0.0046970057317336535,0.06263813122039796,Performing
LN000005,Deutsche Bank,Corporate,7320.279771228897,6565.205835534535,6.525178789445678,12,2022-08-09,2023-08-04,0,B,0.07164864137298942,0.2272604819158774,Performing
LN000006,Deutsche Bank,Corporate,9784.630838065237,8767.130902440715,1.3093207139223382,36,2022-03-21,2025-03-05,30,A,0.015612752352201234,0.7273724473439658,Delinquent
LN000007,HSBC,Individual,6716.240436643504,5969.4630540119515,5.939577148574008,12,2024-02-16,2025-02-10,0,AA,0.02380829945299004,0.2683007162135367,Performing
LN000008,Barclays,Individual,17555.21565884858,14071.849624703287,5.517197564734291,12,2023-11-13,2024-11-07,0,BBB,0.02192230672528081,0.22786181542293574,Performing
LN000009,Deutsche Bank,Corporate,4797.262232745187,3779.0886441099206,5.386226351197503,36,2023-11-29,2026-11-13,30,AAA,0.018000910421536252,0.22819256661073162,Delinquent
LN000010,Barclays,Corporate,4311.595016681839,3196.9228951425584,4.11201922243884,12,2022-04-18,2023-04-13,0,BBB,0.030631914316922436,0.2944576186777546,Performing
LN000011,HSBC,Individual,3154.16963470092,2371.728612768826,9.502256054518238,36,2022-11-23,2025-11-07,0,AAA,0.003961648770721728,0.3601853375126186,Performing
LN000012,Deutsche Bank,Individual,11320.430555635316,9017.00045438985,7.988501289282341,12,2022-10-04,2023-09-29,30,BB,0.023167088645233987,0.5852817908266683,Delinquent
LN000013,HSBC,Corporate,17270.74781173354,16967.308912840796,3.986615950598482,120,2023-11-22,2033-09-30,0,A,0.01587907155826715,0.18497335995472333,Performing
LN000014,Citigroup,Corporate,3096.6548226287587,2247.986419625349,1.9718976077301953,36,2023-11-15,2026-10-30,30,AA,0.002271062401967569,0.1694520453115346,Delinquent
LN000015,HSBC,Corporate,12369.833715664001,11962.254356522822,2.204717264875866,12,2023-05-18,2024-05-12,0,A,0.038565172557232685,0.3690064216043436,Performing
LN000016,Deutsche Bank,Corporate,99129.7959641721,72173.45965927278,7.255431601564281,60,2022-12-02,2027-11-06,0,A,0.029910914721725197,0.6265557474581974,Performing
LN000017,Barclays,Individual,83007.8152483761,62552.24436267563,3.2371786737428954,36,2022-01-04,2024-12-19,0,B,0.009164258097065878,0.375261579189334,Performing
LN000018,HSBC,Individual,25550.62008486365,23609.217258257697,6.3071189925065845,120,2024-06-12,2034-04-21,0,A,0.09601019770662736,0.04841245305634472,Performing
LN000019,Citigroup,Individual,13457.105490967768,10518.380539422817,4.68297516645192,12,2022-06-29,2023-06-24,0,B,0.06969007138316224,0.34783097537278146,Performing
LN000020,Deutsche Bank,Individual,7961.756766061087,7706.5481948944525,6.271289173859094,12,2024-02-13,2025-02-07,30,BB,0.0029434528575458586,0.5748817114216705,Delinquent
LN000021,Citigroup,Corporate,18931.305885427868,16098.266073876295,5.039726692149044,12,2022-05-24,2023-05-19,0,AA,0.05025193015134672,0.12428750188999861,Performing
LN000022,Barclays,Corporate,20110.747522039874,15505.75325121569,4.286743649318621,36,2022-01-14,2024-12-29,0,BBB,0.002058268899051372,0.18443038404987633,Performing
LN000023,HSBC,Corporate,53559.121915064476,44509.72220824217,7.033966961641253,36,2023-10-09,2026-09-23,0,A,0.13665109056063393,0.25525009130383464,Performing
LN000024,Barclays,Corporate,36604.39486802462,29519.551080410376,6.616827050057003,12,2024-07-08,2025-07-03,30,A,0.15304781642888265,0.40148972149808976,Delinquent
LN000025,Deutsche Bank,Corporate,24574.62135075645,22934.26348980765,5.725465041951964,12,2022-07-28,2023-07-23,90,AAA,0.0013941249584548097,0.07156145471719672,Default
LN000026,HSBC,Corporate,20869.081530791096,16138.628135336903,6.108409384678171,12,2022-03-31,2023-03-26,0,A,0.10054857753120314,0.24142809530470635,Performing
LN000027,Citigroup,Individual,9087.155953874742,8409.429408493344,4.649783827480239,60,2022-07-11,2027-06-15,0,A,0.024511454286883113,0.3275155262576456,Performing
LN000028,Citigroup,Corporate,2011.081119763008,1948.9247078719272,3.1191612421812076,12,2022-10-19,2023-10-14,0,BB,0.02973304801894459,0.06727180796795923,Performing
LN000029,Citigroup,Individual,42211.680975800446,31339.106655364296,5.952334500536348,12,2022-09-16,2023-09-11,0,BB,0.09988823404848499,0.22447068164902254,Performing
LN000030,Citigroup,Individual,11315.70815826462,11277.573431526833,5.556949589396757,12,2022-02-14,2023-02-09,0,BBB,0.016643676439985843,0.11672983721510263,Performing
LN000031,HSBC,Individual,54608.823780882325,43653.86541037057,2.727830932366756,12,2023-08-21,2024-08-15,30,BBB,0.04807341809803085,0.2700218431170793,Delinquent
LN000032,Barclays,Individual,16000.205828376773,15638.055702773847,6.080371310125084,120,2024-05-31,2034-04-09,0,BBB,0.07381392998075557,0.25470794940239533,Performing
LN000033,Barclays,Corporate,18338.566961293796,17475.235741321045,6.173714676267306,60,2024-09-03,2029-08-08,30,A,0.0518144262105575,0.4374514845234214,Delinquent
LN000034,Deutsche Bank,Individual,10247.600628719332,8516.669408593874,3.834297113957926,12,2023-06-28,2024-06-22,30,BBB,0.008395074539687152,0.3658987154940103,Delinquent
LN000035,Citigroup,Corporate,78020.7050680948,74209.61424893847,7.448499754897966,36,2024-08-19,2027-08-04,30,A,0.026161759051422043,0.1864251365600929,Delinquent
LN000036,Barclays,Corporate,24621.300467346173,18248.317015411358,5.4826729124789,120,2022-03-17,2032-01-24,0,BBB,0.036110543432806626,0.1561318746788228,Performing
LN000037,Deutsche Bank,Corporate,6786.566788264052,6003.140170545179,2.4490037171788273,60,2023-09-18,2028-08-22,0,A,0.09088926334045597,0.0474385577925967,Performing
LN000038,Citigroup,Corporate,13118.150215570866,12134.278871407765,5.300014034339174,36,2023-12-05,2026-11-19,0,BBB,0.008103002158252407,0.589591234760519,Performing
LN000039,Barclays,Corporate,4800.003257901594,3610.172137502016,7.089164376555551,60,2024-12-04,2029-11-08,0,A,0.04417509033165828,0.3747989551152889,Performing
LN000040,Citigroup,Individual,21484.780942159297,16780.59660408323,5.6440740961092,36,2024-09-16,2027-09-01,0,BB,0.02289350592892885,0.7165356718431755,Performing
LN000041,HSBC,Corporate,5485.463377527113,3886.5878371066638,3.584371618933693,36,2023-02-28,2026-02-12,0,B,0.0446513492379796,0.1845261926337166,Performing
LN000042,Citigroup,Corporate,4807.097678808838,3850.3716037786176,4.971531989686614,36,2024-12-16,2027-12-01,0,AAA,0.034778997695889435,0.24727126575656136,Performing
LN000043,Barclays,Corporate,167250.60385537124,138232.7076642002,5.332479871460433,36,2023-10-09,2026-09-23,30,BB,0.06689738021781268,0.6427548772198048,Delinquent
LN000044,HSBC,Corporate,181618.65315462803,136833.79202819229,3.1255580504944422,120,2022-01-26,2031-12-05,0,AA,0.006799383812635013,0.35986458443585345,Performing
LN000045,Barclays,Individual,21229.27644532144,19021.108380538342,1.0,36,2024-03-26,2027-03-11,0,BB,0.07074445981599568,0.48600611818972084,Performing
LN000046,Citigroup,Corporate,72044.90860745867,60475.45502590052,9.959567845262463,12,2024-11-18,2025-11-13,30,A,0.01648977666395277,0.6915599678725304,Delinquent
LN000047,Citigroup,Corporate,12885.149332993198,9145.659512491215,5.284816722533543,36,2024-06-10,2027-05-26,30,AA,0.034863961088695945,0.2713740336386402,Delinquent
LN000048,Citigroup,Corporate,12001.349859238688,8634.177789786056,5.732798004747298,120,2024-09-23,2034-08-02,0,A,0.04963400299866995,0.10282037084042937,Performing
LN000049,Deutsche Bank,Individual,38483.39262638538,37115.73511041603,3.973187209489664,12,2024-12-02,2025-11-27,0,A,0.05770340500182284,0.09599771097767802,Performing
LN000050,HSBC,Corporate,45557.28764588762,35993.948213597,5.01188667178591,12,2024-05-09,2025-05-04,0,AA,0.042601329085944425,0.6694086887567141,Performing
LN000051,HSBC,Individual,19794.14949173024,18537.14136368244,7.689286787171334,36,2024-02-07,2027-01-22,90,BBB,0.021881231278993385,0.48818881639159795,Default
LN000052,Deutsche Bank,Corporate,79951.03801346345,77037.76682817213,5.971348574037431,36,2024-11-11,2027-10-27,0,BB,0.045772484166981084,0.10477901800289949,Performing
LN000053,Deutsche Bank,Corporate,94634.06457494863,69863.68117519825,2.4218738126308317,36,2022-03-07,2025-02-19,0,BBB,0.02183197973373077,0.13825045017951046,Performing
LN000054,Barclays,Individual,58525.53611181313,50356.82986984958,8.90948753124752,12,2023-01-09,2024-01-04,90,A,0.07804377616176063,0.24614174045975917,Default
LN000055,Deutsche Bank,Corporate,21557.712142601133,21471.315668367042,4.885151263646524,12,2022-06-20,2023-06-15,60,A,0.01602793993688065,0.28242619767206917,Delinquent
LN000056,HSBC,Corporate,121758.28298814893,112895.61771245117,4.210537099694176,36,2024-09-24,2027-09-09,90,A,0.03706854812906822,0.10820438841666437,Default
LN000057,Citigroup,Corporate,82860.77182483707,65254.551841274435,4.259848471102653,12,2023-06-21,2024-06-15,0,B,0.0019957660010675752,0.42818348260500677,Performing
LN000058,Citigroup,Individual,14033.985556712381,10435.847738606693,4.017105273653401,12,2022-12-15,2023-12-10,0,BBB,0.06375385744136426,0.3721807910149372,Performing
LN000059,Barclays,Corporate,28022.77325734146,23528.879418772038,4.557015971566923,60,2023-11-17,2028-10-21,0,A,0.010677507312275061,0.14236234840107534,Performing
LN000060,Deutsche Bank,Individual,27636.889225763993,22473.80746528193,7.2749806813396605,12,2023-11-22,2024-11-16,0,BBB,0.135574239962647,0.12733963961687847,Performing
LN000061,HSBC,Corporate,2001.0882218670347,1617.1857005428626,5.67431401102458,36,2024-03-12,2027-02-25,0,BB,0.006133509398722064,0.5992947401721932,Performing
LN000062,Citigroup,Corporate,14074.810565997845,10448.256208802679,6.403240374129586,120,2022-05-31,2032-04-08,0,AA,0.005236138083785849,0.12303955624497463,Performing
LN000063,Barclays,Corporate,26832.910722920995,24930.920261118525,6.004354344859766,36,2024-07-24,2027-07-09,0,AAA,0.02947941964069117,0.12491074648451757,Performing
LN000064,Deutsche Bank,Corporate,41248.297783245165,29167.043026408344,9.119293028313688,36,2024-03-04,2027-02-17,0,AA,0.04003465110923573,0.2114822769085544,Performing
LN000065,Deutsche Bank,Corporate,66531.37749713192,58818.14954503352,2.9954809150468056,36,2023-11-20,2026-11-04,0,A,0.008650508718267575,0.24353310014889082,Performing
LN000066,Deutsche Bank,Individual,33709.87208391576,27441.05484415225,5.759565915794813,36,2022-02-03,2025-01-18,90,AAA,0.0359130376435236,0.24642435962577286,Default
