Asset_ID,Bank,Asset_Category,Asset_Amount,Currency,Rating,Buffer_Amount,LCR_Compliance
AS000000,Barclays,Cash,19149.352908750257,EUR,AA,104282.36038703081,True
AS000001,HSBC,Bonds,57513.91825537366,EUR,AA,21260.64727328013,False
AS000002,HSBC,Stocks,132997.17805423486,GBP,AA,13556.387622054435,False
AS000003,HSBC,Cash,55194.26993615268,CAD,AAA,28778.755700357724,False
AS000004,Citigroup,Bonds,105920.34657596148,GBP,AAA,10325.087034256077,False
AS000005,Barclays,Cash,82494.6688770616,EUR,BBB,28531.628707886754,False
AS000006,Deutsche Bank,Stocks,95108.05961518633,CAD,BB,6031.999696812346,False
AS000007,Citigroup,Cash,405387.64133432705,CAD,AAA,17639.982449295236,False
AS000008,Barclays,Bonds,2402838.6663841875,GBP,A,74543.79658715223,False
AS000009,Deutsche Bank,Cash,29299.97979836834,GBP,A,33971.61907282709,True
AS000010,Deutsche Bank,Bonds,65036.46115577039,EUR,BBB,3999.495904893692,False
AS000011,HSBC,Stocks,81220.62529962424,EUR,AAA,19963.15571158104,False
AS000012,Barclays,Bonds,109886.7017625719,USD,B,10887.087739070814,False
AS000013,HSBC,Cash,142200.93146437767,EUR,B,13095.28622552948,False
AS000014,Deutsche Bank,Bonds,546484.9581393406,GBP,BBB,17029.809444558738,False
AS000015,Deutsche Bank,Cash,8722.088626005867,USD,BBB,38064.86284867209,True
AS000016,Citigroup,Bonds,32855.28004085147,USD,AAA,4224.93985274069,False
AS000017,Barclays,Cash,432867.3993695445,EUR,BBB,234464.3674115483,False
AS000018,Barclays,Bonds,72831.0227468386,EUR,BBB,240228.54727643688,True
AS000019,Barclays,Stocks,25116.501825366453,USD,AAA,52206.76051454787,True
AS000020,Barclays,Cash,26654.08490416816,USD,BBB,58955.5421965987,True
AS000021,Citigroup,Stocks,279002.99216957256,GBP,BB,39805.209976566024,False
AS000022,Barclays,Cash,43769.634732017636,EUR,BBB,7047.196282995008,False
AS000023,Deutsche Bank,Stocks,114570.103361081,USD,A,11361.540794205432,False
AS000024,Barclays,Cash,96716.74819415435,CAD,BB,188025.77205326164,True
AS000025,Citigroup,Bonds,28884.466907288584,GBP,BBB,67906.15746275106,True
AS000026,Deutsche Bank,Stocks,216183.63587226963,CAD,BBB,4126.429505464349,False
AS000027,Barclays,Cash,23875.249275418537,USD,AAA,42358.140009234274,True
AS000028,HSBC,Cash,120747.56851294979,CAD,CCC,40244.019610839445,False
AS000029,Barclays,Stocks,60500.393974305895,EUR,CCC,31260.292672213385,False
AS000030,Deutsche Bank,Cash,36686.86114495985,EUR,BBB,52881.95982789,True
AS000031,Citigroup,Cash,35420.78767807995,CAD,AA,1988.6443141754485,False
AS000032,HSBC,Cash,98650.39606844452,USD,BBB,24678.435338253123,False
AS000033,Deutsche Bank,Bonds,334870.97446070897,EUR,AA,92927.28203788209,False
AS000034,Barclays,Bonds,11543.731670462967,CAD,AAA,51842.4726944909,True
AS000035,Citigroup,Stocks,22876.54580811563,USD,BB,59107.96895670321,True
AS000036,Barclays,Stocks,11238.850045759571,CAD,A,152394.24709052657,True
AS000037,Deutsche Bank,Cash,72834.46085946441,CAD,A,32215.686382704473,False
AS000038,Deutsche Bank,Cash,191808.23070296863,EUR,BBB,14041.727686306183,False
AS000039,Citigroup,Cash,26280.55240500349,USD,AA,56848.17654945505,True
AS000040,HSBC,Stocks,11882.443079609422,GBP,BBB,7931.250331433348,False
AS000041,Citigroup,Cash,5512.742385034335,CAD,BBB,207851.7294803937,True
AS000042,Deutsche Bank,Stocks,153736.9925795083,CAD,BBB,81868.85561046975,False
AS000043,Deutsche Bank,Stocks,77251.31414788109,GBP,BB,43604.48579619721,False
AS000044,Citigroup,Cash,22798.171274635566,USD,A,22749.41644086612,False
AS000045,HSBC,Bonds,16480.313294600117,USD,BB,9727.79928999276,False
AS000046,Barclays,Cash,19903.457629247652,EUR,BB,3363.8718733317355,False
AS000047,Barclays,Stocks,8796.516909198925,CAD,BB,58166.20877705657,True
AS000048,Citigroup,Stocks,292507.135656253,EUR,BBB,71502.74728624402,False
AS000049,HSBC,Cash,10584.35294891288,CAD,BB,46123.69771541318,True
AS000050,Barclays,Cash,78120.6990658983,GBP,BBB,3591.04645183713,False
AS000051,Citigroup,Cash,11164.433881560699,USD,BBB,33134.554696302825,True
AS000052,Citigroup,Cash,119138.30750727895,USD,BBB,6834.478997954895,False
AS000053,Citigroup,Bonds,109063.78911972622,GBP,A,96020.89973926982,False
AS000054,HSBC,Bonds,135217.08542586784,GBP,A,26138.340759043826,False
AS000055,Citigroup,Cash,152877.73934286356,USD,BBB,9426.262791290905,False
AS000056,Citigroup,Bonds,463991.2084566587,USD,AA,2505.785521446682,False
AS000057,Deutsche Bank,Stocks,16146.26570891672,EUR,A,83968.85191044252,True
AS000058,HSBC,Cash,17018.8940404228,CAD,BB,67508.45253441541,True
AS000059,HSBC,Cash,54822.12015903346,USD,B,2046.113109066745,False
AS000060,Barclays,Cash,79290.41298151623,GBP,A,150155.0928585013,True
AS000061,Citigroup,Cash,55644.07465534608,CAD,A,82277.94641712306,True
AS000062,HSBC,Bonds,23669.625088391083,GBP,AA,17426.92135771754,False
AS000063,HSBC,Cash,17195.390208973524,GBP,AA,72234.20759144129,True
AS000064,Citigroup,Bonds,374869.80425060145,EUR,A,43016.79862812143,False
AS000065,Deutsche Bank,Cash,14998.970957335654,EUR,B,31294.884907354448,True
AS000066,Citigroup,Cash,23802.740471651006,CAD,BBB,18158.69047151689,False
AS000067,Deutsche Bank,Bonds,13073.219163152049,USD,AA,50135.24401662885,True
AS000068,Deutsche Bank,Bonds,1183132.9010681778,GBP,AA,63553.19768379154,False
AS000069,HSBC,Stocks,15759.160205752973,GBP,D,60370.245093895915,True
AS000070,Barclays,Bonds,78054.24500655018,CAD,BB,18677.238649233084,False
AS000071,HSBC,Cash,21610.638530486263,CAD,AA,59288.66302789234,True
AS000072,Citigroup,Bonds,21738.071887138794,USD,A,164423.75746800794,True
AS000073,Deutsche Bank,Stocks,8815.802271054845,USD,BBB,75799.54142118132,True
AS000074,HSBC,Bonds,6101.214684687026,CAD,AA,19835.01794123447,True
AS000075,HSBC,Bonds,15601.805708162621,USD,BBB,119290.11283888527,True
AS000076,Deutsche Bank,Cash,24285.229347448098,CAD,AAA,11165.051945252491,False
AS000077,Citigroup,Cash,37858.14558212478,CAD,B,13816.650242914071,False
AS000078,HSBC,Cash,32266.636566989975,CAD,A,29028.907373876104,False
AS000079,Deutsche Bank,Bonds,16022.517856199876,EUR,BBB,10112.252339017283,False
AS000080,Deutsche Bank,Bonds,241210.34826310127,EUR,BBB,709.6327301953208,False
AS000081,Barclays,Cash,218349.21373357947,USD,AAA,11023.47611279456,False
AS000082,HSBC,Cash,99911.06668439576,EUR,BBB,14674.549745947601,False
AS000083,HSBC,Cash,39394.14847295469,GBP,AA,3994.4236446294244,False
AS000084,Citigroup,Cash,97547.3491575009,EUR,BBB,11507.51152613122,False
AS000085,Citigroup,Bonds,281205.1823389495,USD,A,8248.881798447974,False
AS000086,Citigroup,Cash,27375.07192868381,EUR,BBB,8261.055591398204,False
AS000087,Citigroup,Bonds,40889.997795051066,CAD,A,8180.842091391532,False
AS000088,Deutsche Bank,Bonds,70187.06362816901,USD,BBB,1767.598546923165,False
AS000089,Deutsche Bank,Cash,22810.7576991727,GBP,BBB,36957.66527332412,True
AS000090,Deutsche Bank,Cash,336496.424878046,EUR,A,56892.268094366234,False
AS000091,Deutsche Bank,Cash,3189.042731903537,EUR,AAA,12244.149934918782,True
AS000092,HSBC,Bonds,4927.974280237851,CAD,A,13451.975729073298,True
AS000093,HSBC,Cash,2933.560955602172,CAD,BBB,34548.04277791475,True
AS000094,Deutsche Bank,Cash,27819.06626339276,EUR,B,5511.623217102849,False
AS000095,Barclays,Cash,60724.046156742574,EUR,BBB,35331.42743052752,False
AS000096,HSBC,Cash,48638.3649282288,GBP,A,25751.85259905834,False
AS000097,Citigroup,Stocks,57716.18071736577,GBP,BB,100790.88144494472,True
AS000098,HSBC,Cash,27798.40367646653,GBP,AA,84343.90560536121,True
AS000099,Deutsche Bank,Stocks,55976.13667146827,GBP,A,13659.445834957492,False
AS000100,Citigroup,Cash,50341.673369399905,EUR,BBB,74195.17748706984,True
AS000101,Barclays,Bonds,295827.35168491787,USD,AA,11922.915757942328,False
AS000102,Citigroup,Stocks,167707.32628297532,CAD,A,18960.681413634902,False
AS000103,HSBC,Bonds,162698.06705521047,CAD,AAA,4781.206554878193,False
AS000104,Deutsche Bank,Bonds,106416.46915512084,CAD,BBB,68037.38978222995,False
AS000105,Citigroup,Stocks,135972.14250367935,USD,AA,7774.995426134015,False
AS000106,Citigroup,Cash,18210.322305311573,GBP,BBB,23558.184780381544,True
AS000107,HSBC,Cash,11978.849189064775,CAD,BB,27438.05371599894,True
AS000108,HSBC,Cash,93602.8734804406,CAD,BBB,25030.102749456644,False
AS000109,HSBC,Bonds,131650.37833698545,EUR,BB,71911.31127493155,False
