Trade_ID,Bank,Instrument,Value,Currency,Return,VaR_95
TR000000,HSBC,Stock,43040.60853694208,GBP,-0.0014628239557203948,710.1700408595443
TR000001,HSBC,FX,36549.31765664447,GBP,-0.01281225523266012,603.0637413346337
TR000002,Deutsche Bank,Bond,214133.803835807,GBP,-0.0021233465930628136,3533.207763290815
TR000003,Deutsche Bank,Stock,21469.095380129816,CAD,-0.003979014709069608,354.24007377214195
TR000004,HSBC,Stock,33290.30954950422,EUR,0.0014257952164684886,549.2901075668196
TR000005,Citigroup,Stock,1024510.1254234528,USD,0.01616631013045729,16904.41706948697
TR000006,Citigroup,Bond,10254.284037076732,EUR,0.0015110522653472062,169.19568661176606
TR000007,HSBC,Stock,5723.31123131627,GBP,0.01609386250493331,94.43463531671846
TR000008,Deutsche Bank,Bond,36734.95994116906,CAD,0.0008257054186605035,606.1268390292894
TR000009,Citigroup,Stock,59297.345914974234,CAD,-0.00813265584298042,978.4062075970747
TR000010,HSBC,Bond,44897.68402186566,CAD,0.0007925620678677373,740.8117863607833
TR000011,Citigroup,FX,179004.4552110502,EUR,-0.0023933650469364917,2953.573510982328
TR000012,Deutsche Bank,Stock,20898.748893249824,GBP,0.004586576047038892,344.8293567386221
TR000013,Deutsche Bank,FX,29008.353963557707,GBP,0.005706682920035436,478.63784039870217
TR000014,Barclays,Stock,4897.316362021412,CAD,-0.011232074603817378,80.80571997335329
TR000015,Barclays,Bond,17409.612951376886,USD,-0.013141802099311413,287.2586136977186
TR000016,Citigroup,FX,27242.790362248223,CAD,-0.011999431134815414,449.50604097709567
TR000017,Barclays,FX,10328.164869271664,CAD,0.013475892831899358,170.41472034298246
TR000018,HSBC,FX,20922.802600251922,GBP,0.026288101331446864,345.22624290415666
TR000019,Barclays,Stock,67325.00356586755,CAD,-0.009241051525592658,1110.8625588368145
TR000020,Citigroup,FX,17046.043181262674,USD,-0.013561423520907065,281.25971249083415
TR000021,Deutsche Bank,FX,6864.928236547614,EUR,0.00455208392757691,113.27131590303563
TR000022,Deutsche Bank,Stock,3186.773011491484,USD,-0.010306765272888527,52.58175468960948
TR000023,Deutsche Bank,FX,4690.793747988836,USD,-0.0056153400378009324,77.39809684181579
TR000024,Deutsche Bank,Bond,3574.6689471214286,GBP,-0.005999228846274678,58.98203762750357
TR000025,HSBC,FX,24333.392447140264,EUR,-0.005880505066344477,401.5009753778143
TR000026,Barclays,FX,2734.08835306252,GBP,0.007627958876766085,45.11245782553158
TR000027,HSBC,Stock,2471.9487188919397,GBP,0.007913640627541135,40.787153861717
TR000028,Deutsche Bank,Stock,96708.77595529538,GBP,-0.005295207889425609,1595.6948032623736
TR000029,Barclays,Stock,11005.338829730705,GBP,-0.0034772057027581435,181.5880906905566
TR000030,HSBC,Stock,17563.171396577516,GBP,-0.0011685886560405768,289.792328043529
TR000031,Barclays,Stock,2266.7884637528714,USD,-0.004681136391486844,37.40200965192238
TR000032,Citigroup,Bond,28532.004937809616,CAD,0.014634115154088275,470.7780814738586
TR000033,HSBC,FX,36075.024186257,CAD,0.0033351655437926946,595.2378990732404
TR000034,HSBC,Stock,27571.674594238903,GBP,0.01786191024997962,454.9326308049419
TR000035,Barclays,Bond,453308.6453797257,CAD,0.0040273776239696454,7479.592648765474
TR000036,Barclays,Bond,163905.9403545998,CAD,0.015112230263307429,2704.448015850897
TR000037,Barclays,Stock,138511.38229394433,CAD,-0.0076097306205935005,2285.4378078500818
TR000038,HSBC,FX,108184.73284019617,GBP,-0.008982752374059676,1785.0480918632368
TR000039,Barclays,Bond,21658.762465858494,EUR,0.0006499133181014146,357.36958068666513
TR000040,HSBC,Stock,56655.50624487648,CAD,0.012792566650750632,934.8158530404619
TR000041,Barclays,Stock,7327.697186801297,GBP,-0.0025996424666133475,120.9070035822214
TR000042,Barclays,Stock,20143.09682496596,CAD,-0.011792551337785008,332.3610976119383
TR000043,HSBC,Bond,35175.650753117974,CAD,0.022144924159555143,580.3982374264466
TR000044,Deutsche Bank,Stock,58824.85166731824,EUR,0.01889072689322795,970.6100525107508
TR000045,HSBC,Bond,10347.479954555582,USD,0.004665984747159193,170.7334192501671
TR000046,Deutsche Bank,FX,5125.714837498228,EUR,-0.015191121808780936,84.57429481872076
TR000047,HSBC,FX,8813.96897681073,CAD,0.004340062815489945,145.43048811737702
TR000048,HSBC,Bond,21683.410160325726,EUR,-0.006398381060991564,357.77626764537445
TR000049,Citigroup,Bond,18893.918716985005,EUR,0.006021573218499826,311.74965883025254
TR000050,Barclays,Stock,21224.18885462948,USD,-0.006681501132567133,350.1991161013864
TR000051,Barclays,Stock,28550.934878915352,EUR,0.00997397071874451,471.0904255021033
