Capital_ID,Capital_Amount,Deduction_Amount,Exposure_ID,Exposure_Amount,Risk_Weight,Transaction_ID,Transaction_Amount,AML_Flag,Contract_ID,Rate_Type,Loss_Amount,Risk_Score,Revenue_Amount,Loss_Event_ID,Stress_Scenario_ID
C000000,103802.5643940796,880564.5996004128,E000000,3233947.820740617,23.92896750642425,T000000,942685.8624627561,Pass,CON000000,SOFR,415138.73943114694,66.06841443830615,50947856.03573696,LE000000,S3
C000001,9998379.721414005,544351.6720881645,E000001,1053676.61650836,125.69144185670653,T000001,830069.0219897092,Pass,CON000001,SOFR,104043.91470191699,81.48724420486187,3610291.528505922,LE000001,S3
C000002,2320017.39813789,59320.82968177676,E000002,821755.7318993523,88.86630852215856,T000002,558590.8939929124,Pass,CON000002,SOFR,157887.93619568352,50.6497489870813,79673606.36583269,LE000002,S3
C000003,803458.7424641504,546425.6567122119,E000003,3685986.9283105317,149.66810770819308,T000003,718914.3388561321,Pass,CON000003,SOFR,352644.5354577774,95.5554314664338,72601052.03029168,LE000003,S3
C000004,7401613.22568454,635989.9673007369,E000004,1270801.924017139,114.76327728130656,T000004,647082.1710122211,Pass,CON000004,SOFR,10677.45561560518,69.5604235861909,65374766.16769858,LE000004,S3
C000005,1433414.327434108,934620.3718491616,E000005,713388.4775294752,146.63716607407554,T000005,701363.8860742841,Pass,CON000005,SOFR,342619.8901113707,67.7755694707198,14561194.17692697,LE000005,S3
C000006,2955766.576950283,359045.5387881868,E000006,1893410.6048727238,121.36550878487425,T000006,568810.8612069458,Pass,CON000006,SOFR,401366.71596101124,80.96107149500301,81588846.97209308,LE000006,S2
C000007,5271872.96942677,324889.0595414784,E000007,2925103.562335619,36.20183609229863,T000007,482914.2771540245,Pass,CON000007,LIBOR,285592.69195004326,59.07559239338513,53359309.744444266,LE000007,S3
C000008,9328562.150892362,137679.51918243847,E000008,4178104.3937661755,40.185932901329224,T000008,120971.17166124155,Pass,CON000008,SOFR,485579.363628843,60.69810890670289,52000661.83739987,LE000008,S3
C000009,744072.3543978347,139658.47088539784,E000009,738551.074658844,143.30937299791853,T000009,1177.7952991121726,Pass,CON000009,SOFR,32567.24903306596,78.21217250698288,75516053.94741131,LE000009,S2
C000010,7939919.90102525,813514.9715224919,E000010,2465510.0736183207,40.23473701834553,T000010,346787.388351917,Pass,CON000010,SOFR,110800.6196036072,50.50099649296964,43709289.533100806,LE000010,S2
C000011,6715779.6586535815,367114.59930671984,E000011,1361126.3516805593,100.33317641618333,T000011,95617.7293206599,Fail,CON000011,SOFR,476654.9017780761,63.07620847350577,93212179.9300417,LE000011,S1
C000012,5038532.02186836,788518.7743790182,E000012,4995039.011143853,80.24182495617745,T000012,994705.2520928779,Pass,CON000012,SOFR,29963.858902165073,72.19613334397874,60569864.95804061,LE000012,S3
C000013,1597130.630852788,820576.1319928963,E000013,3976669.5591351218,56.270749582362654,T000013,308679.9142783655,Pass,CON000013,SOFR,410011.7203278434,80.73470693931489,85946311.75339046,LE000013,S1
C000014,3296228.6516109062,671363.2118428773,E000014,2936414.2291217675,136.60827351758118,T000014,936165.6606634852,Pass,CON000014,SOFR,209903.84854310262,71.05053426751505,78384019.64820512,LE000014,S2
C000015,8559763.430688843,919488.0331560397,E000015,3983740.964456975,55.556044880666626,T000015,368989.34299377946,Pass,CON000015,SOFR,422645.5539072361,57.214703680934456,46542624.75192493,LE000015,S3
C000016,2511713.7667000755,308265.0892395954,E000016,2163455.294028611,101.05233197400936,T000016,578219.7574105159,Pass,CON000016,SOFR,234403.3349909671,90.47998004770128,62048646.862528734,LE000016,S3
C000017,1516062.3973807306,473437.32952088147,E000017,711163.9288547378,61.99362219830127,T000017,92365.14571415965,Pass,CON000017,SOFR,131499.56938155895,90.34941433532478,9138878.765568644,LE000017,S3
C000018,6153389.698696902,558396.2185070607,E000018,1409872.9877238774,45.983341523124835,T000018,732605.2222426917,Fail,CON000018,SOFR,312260.95697869046,77.83519983443469,94096082.33192123,LE000018,S2
C000019,6885939.595214272,671180.2422182879,E000019,354544.34281657654,65.05636659359959,T000019,967260.0434978231,Pass,CON000019,SOFR,344924.67806108773,72.4955116171082,83199910.93185617,LE000019,S2
