Loan_ID,Principal_Amount,Days_Past_Due,Loan_Status,Credit_Score,Collateral_Value,Commitment_Amount,Provision_Amount
L000000,380794.71765888884,30,Active,351,191407.68331741774,320250.0311615362,85495.1192887607
L000001,951207.163345817,0,Active,302,47792.04306726692,426387.8565933213,62331.84877374683
L000002,734674.002393291,0,Active,376,138775.388146456,163325.98323582544,73504.71380142699
L000003,602671.8993550662,0,Active,315,138080.37012272302,434765.4200665503,39990.53912105101
L000004,164458.45403801216,0,Active,529,747873.0325059387,315708.80215887784,34799.29007609025
L000005,164434.57513284063,30,Active,566,749904.595118787,139505.27816503384,20403.531687942068
L000006,67502.77604651747,120,Delinquent,605,204641.0262659574,459896.45651630266,62511.88199483151
L000007,867514.3843171858,0,Active,305,84513.43775404387,28917.28423476009,81785.41131343889
L000008,605103.8616257767,30,Active,409,225374.55638002956,295272.2463913939,66349.58880085686
L000009,710991.8520180851,0,Active,442,637157.9079623848,8433.7084921427,39242.118692849384
L000010,30378.649352844423,0,Active,506,696612.9067421199,40838.24179032813,98722.78327011885
L000011,970210.7536403744,0,Active,728,400881.36030526017,50085.17445988847,617.2809958811198
L000012,834118.2143924176,0,Active,465,432095.235760698,447132.5764896764,30988.98984463304
L000013,220215.7195714934,0,Active,559,366962.8828491674,279351.38946714543,96818.27734437105
L000014,190006.7175350296,0,Active,693,146244.446492783,130005.62874259148,38538.142910878516
L000015,191570.46475489947,60,Active,420,39819.01548833014,195317.73842553745,62015.0853436723
L000016,311199.82052994234,30,Active,712,497117.55859433487,419024.03662726603,23968.723533916724
L000017,529508.8673159154,120,Delinquent,439,638983.9128362024,285057.40180969617,69001.0508808989
L000018,437625.5684556946,0,Active,467,599477.8288250997,15814.28042873917,64872.74288123801
L000019,298316.8487960615,0,Active,383,720236.3718652093,435613.76512226305,61712.83361865806
L000020,615734.3657751557,0,Active,720,650918.3545882305,269232.01575495664,37603.25122607748
L000021,148098.9220455214,0,Active,567,230060.89814889172,98097.03455605794,95633.10215542838
