Asset_ID,Asset_Type,Asset_Value,Outflow_Amount,Funding_ID,Funding_Amount,Maturity_Date,ASF_Weight,RSF_Weight
A000000,Cash,1233781.0731156473,1215720.3310464139,F000000,4650327.639524955,2027-07-30,75.50909124496728,26.307972916167365
A000001,Cash,1333542.2956647614,1759173.6705841362,F000001,3195926.2652864284,2028-09-01,88.6601303513759,77.17873530144081
A000002,Cash,3697049.8573569264,1283981.9156299836,F000002,3558662.777793716,2022-09-20,76.92863867663151,93.12010069855464
A000003,Cash,2731707.1464937436,84741.77639573847,F000003,4206925.842529842,2024-03-16,55.65008054926113,94.17246711193049
A000004,Government Bond,3550959.8121112837,901289.6097690024,F000004,1073770.3778757926,2026-04-05,87.38131730033069,83.79140524767945
A000005,Government Bond,1894299.9909359221,56161.30423932361,F000005,4603307.283558797,2023-08-10,53.44981006031833,41.68886626174879
A000006,Government Bond,2243850.3448788226,1738658.3163245062,F000006,3347371.9484512215,2029-09-08,56.535579331041745,85.7881628319482
A000007,Cash,2378283.644496879,1677494.6159961848,F000007,862399.8217584931,2029-11-14,55.86362265812051,14.934626035105914
A000008,Government Bond,2484701.9301118753,941356.5842622309,F000008,2098988.9359889496,2027-06-21,97.53290956579288,68.1752397785618
A000009,Cash,1460219.854521906,1961877.8953777375,F000009,469858.43387576845,2025-11-11,85.29576969082856,65.69072078377619
A000010,Corporate Bond,3411339.850467865,1433487.9641468325,F000010,2472784.286868015,2030-05-25,96.27761710640104,95.55061518623319
A000011,Corporate Bond,2702731.431601647,601500.9173159411,F000011,2115348.2956655673,2029-08-04,70.63918894925301,79.4920823217228
A000012,Corporate Bond,3154249.5046693734,36685.78428219451,F000012,485265.885703305,2022-04-01,93.46288449799957,91.53592542206742
A000013,Government Bond,515142.2250286035,1475648.0587706827,F000013,1751358.5579375394,2028-07-20,93.73997145788914,90.47741952872595
A000014,Cash,628232.024289218,384389.0995664285,F000014,3691378.017453358,2028-09-17,71.22024917562999,88.44276841867794
A000015,Cash,1998200.6681073783,1954695.1497872148,F000015,3312860.4754629787,2026-03-19,51.17506038373732,58.346070749403864
A000016,Government Bond,3085900.301342516,1184165.4954307256,F000016,2878699.257638871,2029-05-03,68.13888224406195,56.05739211494984
A000017,Government Bond,1446450.6203494752,740214.870294285,F000017,4921536.288506949,2028-08-06,63.193262399548246,76.275571113662
A000018,Government Bond,599441.2611779829,228707.38755432895,F000018,4332484.024317228,2030-03-07,58.48044993338661,56.66932651869477
A000019,Cash,3638726.8778238385,1383802.6266117683,F000019,4801837.483333487,2023-12-02,81.44704898285498,84.7765848067673
A000020,Cash,3955165.738015704,226487.05784464587,F000020,3269311.4155639587,2022-04-16,67.15462135521943,29.61402395508735
A000021,Government Bond,3229885.373575607,900795.0777192547,F000021,3469531.4457910922,2022-09-02,86.48082082537884,77.64483464753101
A000022,Cash,1675278.808693993,1868015.9911556786,F000022,3129862.6359961363,2021-06-05,77.04007141155107,52.7825326287413
A000023,Government Bond,2940889.700688715,1602252.261801131,F000023,1122300.380429386,2029-05-09,92.8104327412899,55.56125928732909
A000024,Cash,1560537.8032060512,1411244.1314997864,F000024,3847846.9933671025,2024-08-20,52.385617041642156,81.81718027094931
A000025,Government Bond,4060334.306815893,381696.82993784704,F000025,795494.2215314024,2020-12-22,64.66164286690238,10.951539979157772
A000026,Government Bond,4844005.837329817,1046050.1386680128,F000026,4855615.498400461,2026-06-10,88.3675032485436,83.68281685420686
A000027,Corporate Bond,692331.0890330758,1947156.071776199,F000027,1994956.496716322,2026-05-31,84.81305503868566,21.54225131729577
A000028,Cash,3797774.1068341197,1145756.409038962,F000028,1206283.9742685787,2021-02-17,95.02220712539949,32.28567018365229
A000029,Government Bond,22342.96348156999,165801.19344523776,F000029,1196314.3113783177,2027-10-08,89.63799764938294,42.705541826016564
A000030,Corporate Bond,2187165.2328094942,1044778.3774427512,F000030,3587967.9565549237,2021-08-07,69.06869432980777,49.971489121715585
A000031,Government Bond,3743079.242188423,368487.2665360306,F000031,208885.0298345533,2024-06-11,84.60590739399129,57.4875299879238
A000032,Cash,3603111.782619692,109622.88551907374,F000032,1644258.1751164903,2022-04-22,78.38351111808309,38.992296324595415
A000033,Corporate Bond,4673325.957016799,1813338.3534759742,F000033,2102467.9510160796,2029-01-31,63.83827235640624,73.08731590506946
A000034,Cash,4524445.724983245,1197513.395230946,F000034,777872.7077457376,2025-09-06,63.32720170620539,38.295353834888054
A000035,Government Bond,2473211.891443019,321944.2617032111,F000035,2450762.9539180314,2027-01-05,79.66206582284916,50.91882873235249
A000036,Government Bond,4137741.9797502244,403879.8298744613,F000036,4527683.276584231,2021-02-19,53.1026623914276,71.68766913674233
A000037,Government Bond,4975688.1428616615,329567.858694346,F000037,272295.4249552499,2027-03-27,54.23614334623251,68.19824107627129
A000038,Cash,2913072.7476387336,1393859.1914613142,F000038,2362448.181318797,2021-11-24,80.08813216611247,48.52413656885034
A000039,Cash,3284961.2735107,1320968.1270671883,F000039,2474843.8809285015,2020-09-28,54.53389869302204,76.77289338296669
A000040,Government Bond,412515.69066625147,199096.01145362525,F000040,1837587.0323112411,2024-07-09,50.57834588190522,93.03254859587648
A000041,Cash,4921479.649586102,940748.4970614029,F000041,3890419.703079028,2021-09-16,96.41187446847732,95.46044981441482
A000042,Cash,4578309.634711449,539442.4287256317,F000042,338811.3213496994,2026-08-24,82.9429503470505,99.0782312182006
A000043,Government Bond,2355421.6867319797,314978.2299550933,F000043,38830.10489842696,2027-11-05,63.325543351416584,77.96696155640363
A000044,Cash,2365965.6561288047,845908.8506826723,F000044,3235377.7536491044,2024-08-03,95.66128807273464,40.05370306198506
A000045,Government Bond,2907139.623730117,1092040.6211987971,F000045,3636269.2695156676,2028-08-25,86.68319579332059,47.48725390973281
A000046,Cash,3642411.7931232485,35820.432836013904,F000046,2014441.9150597674,2030-06-23,75.06206547634467,68.1079398452909
A000047,Cash,3619965.2802028367,911438.0537829219,F000047,3944494.429407026,2030-02-18,51.87078573945669,87.38253929903608
A000048,Government Bond,3232783.3829416283,1167559.3126540717,F000048,4741938.642833422,2026-04-17,79.50495356412715,26.339500134233063
A000049,Cash,1445067.0272914425,1239924.1162501986,F000049,1876947.34122592,2020-10-20,90.08266503457399,14.833071500807392
A000050,Government Bond,2722505.8099413915,444046.1273273471,F000050,921459.9174738588,2024-04-22,87.6743467905805,24.097988114505263
A000051,Cash,2773207.247073849,261157.28222193755,F000051,178533.46188026748,2027-01-08,51.18179632631924,34.92358439118255
A000052,Cash,2433117.4871830703,1866920.9683698558,F000052,2094826.5684754096,2026-07-10,67.53147277857747,74.84359514855987
A000053,Cash,352532.2511372261,1809013.482724905,F000053,4373850.257626896,2027-09-07,54.51275770072312,77.29713806287344
A000054,Corporate Bond,4426680.958265683,438047.2850888659,F000054,3583145.2967506917,2028-11-02,69.62023695076935,12.192770189226696
A000055,Cash,1620606.977136586,1456025.4532033969,F000055,4297241.31705336,2029-03-28,77.16972165363771,93.45993101557198
A000056,Corporate Bond,3155578.7244279925,1060661.9150574931,F000056,230203.8173278386,2026-03-17,68.27805198265266,45.15143281004554
A000057,Cash,3149752.695045354,1490785.4638210228,F000057,3930907.0166795235,2025-10-24,79.57701082646435,77.43770965439234
A000058,Cash,633823.419277022,1581099.3258820837,F000058,4130519.6499117855,2025-01-23,52.78530394477008,83.25165444718193
A000059,Corporate Bond,4482299.898372859,926417.3161268252,F000059,1207819.7135201844,2029-01-21,53.46533355905394,82.19776350364384
A000060,Government Bond,1815419.0945184412,1839932.8432723437,F000060,3849369.7112673013,2026-08-04,81.87198608395533,47.04627223485777
A000061,Corporate Bond,352045.54374865146,1066517.6571820509,F000061,4629219.81094179,2025-12-29,92.46912785552874,48.57540489413314
A000062,Government Bond,4553005.797849422,241664.95591333217,F000062,1346291.1554284454,2025-05-12,76.4451483054116,24.35781722467651
A000063,Cash,1088411.4708936792,1519407.4311160601,F000063,1025313.6211959673,2023-12-15,70.89191874012577,70.65954905093034
A000064,Cash,3680909.7502952446,1602665.6503350562,F000064,3327190.109818826,2023-05-31,87.53837383231566,57.52880652092403
A000065,Government Bond,4781746.766478171,1795826.065856568,F000065,4378133.615274469,2022-09-10,96.89736916277806,85.61742505824459
A000066,Government Bond,1150097.10364174,1829027.8685597312,F000066,2663216.9617341813,2028-03-05,92.27080873569122,92.98884582304547
A000067,Government Bond,3521653.339223418,1260659.4253920433,F000067,2054478.8536372604,2023-06-24,54.31545624701874,75.5762715930535
A000068,Cash,1411650.0415347666,253522.08230301703,F000068,1758255.4518717467,2026-01-14,74.93392073046155,84.88647382468034
A000069,Corporate Bond,4095756.514078916,1037448.9366178875,F000069,2568039.131118602,2024-05-07,52.59467563577678,74.6032082652255
